x,y,siteID,MAT,MAP
-100.91535,46.76972,NOGP,5.4,41.8
-102.447103,39.758246,ARIK,10.1,43.1
-103.029297,40.461903,STER,9.2,41.9
-104.745602,40.815534,CPER,8.6,36.2
-105.54487,40.03496,COMO,-0.5,70.5
-105.54592,40.27591,RMNP,0.4,64.1
-105.58237,40.05425,NIWO,-0.5,70.5
-105.915395,39.891366,WLOU,0.4,61.5
-106.84254,32.59068,JORN,14.9,25.6
-109.38827,38.24833,MOAB,9.8,31.2
-110.53914,44.95348,YELL,0.5,58.2
-110.58715,44.95011,BLDE,0.5,58.2
-110.83549,31.91068,SRER,19,34.6
-111.506903,33.749057,SYCA,19.3,42.1
-111.797652,40.783742,REDB,6.6,66
-112.45244,40.17759,ONAQ,9.3,34.9
-119.00602,37.00583,TEAK,5.6,78.8
-119.026986,36.955282,TECR,12.3,75.5
-119.255996,37.057995,BIGC,9.7,88.5
-119.26219,37.03337,SOAP,9.7,88.5
-119.73228,37.10878,SJER,16.2,46.2
-121.931959,45.791248,MART,9.2,226.5
-121.951912,45.820488,WREF,9.2,226.5
-122.165554,44.259598,MCRA,7.2,174
-122.33033,45.76243,ABBY,8.3,255.6
-145.75136,63.88112,DEJU,-3.1,30
-147.50246,65.15306,CARI,-4.3,31.2
-147.50258,65.15401,BONA,-4.3,31.2
-149.143018,68.669753,OKSR,-11.7,22
-149.21334,63.87569,HEAL,-4.6,39.8
-149.37047,68.66109,TOOL,-12,22.8
-149.610636,68.630692,TOOK,-11.7,22.9
-155.31731,19.55309,PUUM,16.2,293
-156.61936,71.28241,BARR,-12.3,11.7
-66.79851,18.174104,GUIL,22.7,227.6
-66.8687,17.96955,GUAN,25.9,91.6
-66.98676,18.11352,CUPE,24,171.7
-67.0769,18.02125,LAJA,25.1,147.4
-71.28731,44.06388,BART,4.8,130
-72.17266,42.5369,HARV,7.2,112
-72.329627,42.471786,HOPB,7.6,114.2
-76.56001,38.89008,SERC,13.1,107.2
-77.983216,39.095637,LEWI,11.6,100.4
-78.07164,39.06026,BLAN,11.7,96.6
-78.1395,38.89292,SCBI,11.2,102
-78.14678,38.89332,POSE,11.2,102
-80.52484,37.37828,MLBS,9.8,104.5
-81.4362,28.12504,DSNY,22.4,120.8
-81.99343,29.68927,OSBS,20.3,131.3
-82.009089,29.676473,BARC,20.2,131.8
-82.016171,29.687054,SUGG,20.2,131.8
-83.50195,35.68896,GRSM,12.7,134
-83.50379,35.690428,LECO,12.7,134
-84.280413,35.959469,WALK,13.9,135.6
-84.2826,35.96412,ORNL,13.9,135.6
-84.437403,31.185424,FLNT,19.3,132.6
-84.46861,31.19484,JERC,19.3,132.6
-87.39327,32.95046,TALL,17.1,142.5
-87.408128,32.959657,MAYF,17.1,142.5
-87.798151,32.541529,BLWA,17.5,138.2
-87.80389,32.54172,DELA,17.5,138.2
-88.161065,31.852096,TOMB,17.9,149.3
-88.16122,31.85388,LENO,17.9,149.3
-89.47825,46.211114,CRAM,3.7,84.5
-89.53725,46.23388,UNDE,3.7,85
-89.58571,45.493691,TREE,4.5,80.8
-89.586365,45.508942,STEI,4.4,79.8
-89.704767,45.998269,LIRO,4,80.7
-95.19215,39.04043,UKFS,12.6,96.5
-96.441967,38.944276,MCDI,12,88.1
-96.56309,39.10077,KONZ,12.1,86.6
-96.603359,39.105064,KING,12.1,86.6
-96.61295,39.11044,KONA,12.1,86.6
-96.624201,34.444218,BLUE,16.3,101.5
-97.57,33.40123,CLBJ,17.6,87.4
-97.782258,33.378589,PRIN,17.8,84.1
-99.05879,35.41059,OAES,15.5,69.8
-99.106556,47.161647,DCFS,4.7,44.2
-99.11388,47.15909,PRLA,4.7,44.2
-99.241356,47.128228,WOOD,4.6,43.1
-99.250551,47.12999,PRPO,4.6,43.1
